"","id","condition","prop_diff"
"191","muric433","perspective",0.0613026819923372
"192","muric436","perspective",0.0181818181818182
"193","muric450","perspective",0.037037037037037
"194","muric451","perspective",0.05
"195","muric454","mindful",0
"196","muric457","control",-0.0293157894736842
"197","muric468","mindful",0.025
"198","muric470_original","perspective",0
"199","muric479","control",0
"200","muric484","perspective",0
"201","muric488","control",0
"202","muric491","mindful",-0.00427350427350429
"203","muric496","mindful",0.0689655172413793
"204","muric498","mindful",0
"205","muric505","perspective",0
"206","muric506","perspective",0
"207","muric507","perspective",0.153846153846154
"208","muric512","control",-0.00902035002035003
"209","muric522","control",0.0533103448275862
"210","muric525","mindful",0
"211","muric527","perspective",-0.0357142857142857
"212","muric531","perspective",0
"213","muric533","control",-0.000766283524904214
"214","muric535","control",0
"215","muric536","perspective",-0.037037037037037
"216","muric539","perspective",-0.208333333333333
"217","muric551","control",0.00526617405582924
"218","muric553","mindful",0.0833333333333334
