"","id","condition","prop_diff"
"1","muri012","mindful",-0.0356125356125356
"2","muri017","perspective",0
"3","muri034","perspective",0.151515151515152
"4","muri041","mindful",-0.00264550264550265
"5","muri061","control",0.00264550264550264
"6","muri063","mindful",0.0654761904761905
"7","muri067","control",-0.00250712250712252
"8","muri071","control",0.00495726495726493
"9","muri078","mindful",0.107142857142857
"10","muri086","mindful",-0.0416666666666667
"11","muri088","mindful",-0.107142857142857
"12","muri091","perspective",-0.0769230769230769
"13","muri092","perspective",0.0454545454545455
"14","muri093","control",-0.0271683999270206
"15","muri094","control",-0.0180555555555556
"16","muri095","control",-0.0131664631664632
"17","muri096","perspective",-0.116219667943806
"18","muri098","mindful",0.00974658869395711
"19","muri100","perspective",0.0271428571428571
"20","muri101","mindful",0.14021164021164
"21","muri112","control",0.0856267104542967
"22","muri113","control",-0.00100992238923274
"23","muri115","control",-0.00369458128078818
"24","muri117","mindful",-0.116666666666667
"25","muri162","control",-0.0101100891861762
"26","muri163","mindful",0.132822477650064
"27","muri173","perspective",0.00132275132275132
"28","muri181","control",0.0144876847290641
"29","muri186","mindful",0.0357142857142857
"30","muri189","control",-0.00245449735449735
"31","muri196","perspective",0.0384615384615385
"32","muri201","perspective",0.0885668276972625
"33","muri369","mindful",0.153846153846154
"34","muri372","control",0.0299059829059829
"35","muri373","perspective",-0.095952023988006
"36","muri376","control",-0.0456718664477285
"37","muri389","perspective",-0.0384615384615385
"38","muri392","control",0.0102709359605911
"39","muri393","perspective",0.0314285714285714
"40","muri396","perspective",0
"41","muri397","control",0.0132275132275132
"42","muri400","mindful",0.075
"43","muri404","mindful",-0.104774535809019
"44","muri405","mindful",0.142857142857143
"45","muri408","perspective",-0.0396825396825397
"46","muri531","mindful",-0.0340740740740741
"47","muri542","mindful",0.0454545454545455
"48","muri543","control",-0.0439226418536763
"49","muri549","control",-0.0337301587301587
"50","muric201","control",-0.00605911330049261
"51","muric202","mindful",0.345238095238095
"52","muric203","control",0.0608443854995579
"53","muric205","perspective",0.0138888888888889
"54","muric208","perspective",-0.0769230769230769
"55","muric209","control",-0.005997150997151
"56","muric210","mindful",-0.06
"57","muric212","mindful",0
"58","muric213","perspective",0.0689655172413793
"59","muric219","perspective",0.0185714285714286
"60","muric224","mindful",-0.152116402116402
"61","muric228","control",-0.0374507936507936
"62","muric230","mindful",-0.00529100529100529
"63","muric231","control",-0.0146551724137931
"64","muric232","mindful",0.0687830687830688
"65","muric233","mindful",0.075
"66","muric234","mindful",0.00396825396825397
"67","muric235","control",0.0272569786535304
"68","muric238","control",-0.00309660645867543
"69","muric239","control",-0.0501970443349754
"70","muric241","perspective",0.0357142857142857
"71","muric242","mindful",0.0319284802043423
"72","muric243","perspective",0
"73","muric244","perspective",0.0357142857142857
"74","muric245","mindful",-0.0105820105820106
"75","muric246","perspective",-0.00396825396825397
"76","muric247","perspective",-0.185185185185185
"77","muric248","control",0.00518883415435142
"78","muric249","mindful",-0.107142857142857
"79","muric250","mindful",0.169859514687101
"80","muric251","mindful",0.0054945054945055
"81","muric252","control",-0.0210454296661193
"82","muric253","perspective",-0.00246305418719212
"83","muric254","perspective",0.188552188552189
"84","muric301","perspective",0
"85","muric312","perspective",0
"86","muric315","control",-0.00890963609104539
"87","muric321","mindful",0.0257648953301127
"88","muric325","perspective",0.152380952380952
"89","muric328","mindful",0.0476190476190476
"90","muric333","control",-0.0387445887445887
"91","muric338","control",-0.115054945054945
"92","muric347","control",0.0163767841354048
"93","muric351","control",0.16546336996337
"94","muric354","perspective",0.230769230769231
"95","muric358","perspective",0.283882783882784
"96","muric362","control",0.0228632478632478
"97","muric375","mindful",-0.0791826309067688
"98","muric414","control",0.0202951103813173
"99","muric419","mindful",0.173076923076923
"100","muric420","control",-0.00105318372559752
"101","muric424","perspective",0.115384615384615
"102","muric429","perspective",0
"103","muric430","mindful",0.00427350427350429
"104","muric431","mindful",-0.118333333333333
"105","muric432","mindful",0.214285714285714
"106","muric434","perspective",0.0689655172413793
"107","muric435","perspective",-0.0846153846153846
"108","muric438","control",-0.0196825396825397
